date	source	title	textfile
2019-05-22	The Washington Post (Online)	To make her wealth tax work, Elizabeth Warren must revive the IRS	txt-opeds/2229001095.xml.txt
2019-11-01	The Washington Post (Online)	The eight big problems with Warren’s Medicare-for-all plan	txt-opeds/2311145650.xml.txt
2021-11-08	Los Angeles Times (Online)	Column: Thank you, Elon Musk. You've just proved why a billionaires tax is essential	txt-opeds/2594699721.xml.txt
2021-06-10	New York Times (Online)	Why Elon Musk Has a Lower Tax Rate Than You	txt-opeds/2539662866.xml.txt
2019-01-27	The Washington Post (Online)	The real wall is between conservatism and fresh ideas	txt-opeds/2171579610.xml.txt
2022-03-28	Wall Street Journal (Online)	Biden's Big New Wealth Tax; He pivots left again, with a 20% tax on unrealized asset gains.	txt-opeds/2644161660.xml.txt
2019-11-11	The Washington Post (Online)	Democrats have put their differences above beating Trump. Bloomberg is a symptom not a cure.	txt-opeds/2313472672.xml.txt
2019-12-12	The Washington Post (Online)	Warren’s desperation is showing	txt-opeds/2325675033.xml.txt
2019-10-28	The Washington Post (Online)	We need more of the Joe Biden we saw on ‘60 Minutes’	txt-opeds/2309598115.xml.txt
2022-01-12	Los Angeles Times (Online)	Column: At a subsidiary of a $4-billion corporation, these low-wage workers are striking for better pay	txt-opeds/2618939748.xml.txt
2020-03-05	New York Times (Online)	Elizabeth Warren Was the Wrong Kind of Radical	txt-opeds/2371213504.xml.txt
2020-01-27	Wall Street Journal (Online)	Liz and Bernie's Estates Sale; A new report shows how their proposed wealth taxes would force U.S. assets into foreign hands.	txt-opeds/2346133404.xml.txt
2021-06-09	New York Times (Online)	Should America’s Richest Pay a Wealth Tax?	txt-opeds/2539293713.xml.txt
2019-11-15	Wall Street Journal (Online)	The Deval Patrick Daydream; Is this the answer for voters seeking a non-socialist non-Biden?	txt-opeds/2314407458.xml.txt
2019-09-17	Los Angeles Times (Online)	Column: Trump is ignorant. What's Elizabeth Warren's excuse for her unconstitutional proposals?	txt-opeds/2413499754.xml.txt
2019-01-25	Wall Street Journal (Online)	Elizabeth Warren's Unconstitutional Wealth Tax; If you thought the Native American story was a whopper, check out her new plan to expand government.	txt-opeds/2171012495.xml.txt
2020-01-15	The Washington Post (Online)	The Washington Post Editorial Board interviews 2020 candidate Deval Patrick	txt-opeds/2338891258.xml.txt
2019-10-16	The Washington Post (Online)	For Elizabeth Warren, the hard part begins now	txt-opeds/2306027790.xml.txt
2019-06-25	The Washington Post (Online)	How moderates can emerge from the shadows	txt-opeds/2246593416.xml.txt
2022-05-09	The Washington Post (Online)	Why Twitter could start winging its way to Texas	txt-opeds/2661277175.xml.txt
2019-04-26	New York Times (Online)	Warren’s Education Plan? Coulda Been Worse	txt-opeds/2215016989.xml.txt
2019-01-30	The Washington Post (Online)	When it comes to the 2020 election, Wall Street can’t have it all	txt-opeds/2173410355.xml.txt
2020-04-10	Wall Street Journal (Online)	Joe Biden and the Slow Death of Liberalism; Democrats are again choosing a moribund ideology bereft of new ideas. Radicalism beckons.	txt-opeds/2388039945.xml.txt
2014-05-19	New York Times (Online)	To Lift Up the Poor, Must We Soak the Rich?	txt-opeds/2213367063.xml.txt
2020-03-12	Wall Street Journal (Online)	The IRS Proves the Left's Favorite Economists Wrong; New data contradict Saez and Zucman's celebrated claim that the rich pay lower rates than the poor.	txt-opeds/2376398368.xml.txt
2014-01-01	The Washington Post (Online)	Thomas Piketty identifies an important ill of capitalism but not its cure (Posted 2014-05-15 00:38:34)	txt-opeds/1524647664.xml.txt
2019-09-25	New York Times (Online)	Why a Trump Impeachment Should Terrify You	txt-opeds/2296732061.xml.txt
2022-03-28	Los Angeles Times (Online)	Column: A billionaires tax is a necessity. Even the White House knows it	txt-opeds/2644157648.xml.txt
2019-02-01	The Washington Post (Online)	The real reason Republicans are freaked out about Democrats’ move to the left	txt-opeds/2174662680.xml.txt
2021-02-05	Los Angeles Times (Online)	Column: How often have tax cuts for the rich trickled down to the rest of us? Never	txt-opeds/2486595268.xml.txt
2021-11-08	Wall Street Journal (Online)	The Trump Republicans' Lessons for Democrats; Both parties often mistake voter frustration with the other team for devotion to their own cause.	txt-opeds/2594837361.xml.txt
2019-11-05	Los Angeles Times (Online)	Column: Elizabeth Warren and Donald Trump have more in common than you'd think	txt-opeds/2413929594.xml.txt
2019-02-26	Wall Street Journal (Online)	The AOC Primary; Will Democratic senators running for President decline to vote for the Green New Deal they just endorsed?	txt-opeds/2185952589.xml.txt
2020-02-10	The Washington Post (Online)	There is only one question for Democratic primary voters: Who can win?	txt-opeds/2352858790.xml.txt
2020-06-06	The Washington Post (Online)	Joe Biden the revolutionary? What a bunch of malarkey.	txt-opeds/2409904784.xml.txt
2022-03-28	Wall Street Journal (Online)	Washington's Record Tax Windfall; Biden's new budget shows the political class is rolling in revenue.	txt-opeds/2644161659.xml.txt
2019-04-23	The Washington Post (Online)	Why not Warren?	txt-opeds/2213017114.xml.txt
2023-02-10	Wall Street Journal (Online)	Biden's 2025 Tax Agenda; He's reprising Elizabeth Warren's wealth tax on unrealized asset gains.	txt-opeds/2775107093.xml.txt
2019-11-19	Los Angeles Times (Online)	Column: The future for local news looks bleak	txt-opeds/2413693401.xml.txt
2019-10-23	The Washington Post (Online)	If Democrats nominated these two grown-ups, Trump’s defeat would be sure	txt-opeds/2308354326.xml.txt
2020-05-26	New York Times (Online)	Inequality in America: Finding Answers	txt-opeds/2406634193.xml.txt
2019-05-28	The Washington Post (Online)	Elizabeth Warren’s jaw isn’t made of glass	txt-opeds/2231258473.xml.txt
2019-07-29	The Washington Post (Online)	Canada’s ‘Green New Deal’ could change the game ahead of the elections	txt-opeds/2266217715.xml.txt
2020-08-04	The Washington Post (Online)	Hack. Pack. Pack. Tax. Slash. Grab: The Democratic agenda of 2020	txt-opeds/2430270473.xml.txt
2014-09-23	New York Times (Online)	America Out of Whack	txt-opeds/2213046987.xml.txt
2021-06-10	The Washington Post (Online)	Mad about how little rich people pay in taxes? Here’s how to get them to pony up.	txt-opeds/2539767312.xml.txt
2021-06-08	New York Times (Online)	The Real Tax Scandal Is What’s Legal	txt-opeds/2538661847.xml.txt
2019-08-01	Wall Street Journal (Online)	Debates Leave Trio of Presidential Battles; Joe Biden was more forceful in this round of debates than he was in the first round	txt-opeds/2267286735.xml.txt
2020-03-06	Los Angeles Times (Online)	Op-Ed: Biden appeals only to older voters; Sanders only to the young. That has to change	txt-opeds/2372438448.xml.txt
2020-02-21	Los Angeles Times (Online)	Opinion: Michael Bloomberg is finally having his moment with readers. Is that a blessing or a curse?	txt-opeds/2359791374.xml.txt
2019-02-06	The Washington Post (Online)	Live commentary on Trump’s State of the Union: Follow along with Post columnists	txt-opeds/2176618340.xml.txt
2019-02-06	Wall Street Journal (Online)	Venezuela's Collapse Exposes the Fake Socialism Debated in U.S. Would American politicians even recognize true socialism as they laud or lambaste it?	txt-opeds/2176269014.xml.txt
2019-06-03	The Washington Post (Online)	Two speeches, two halves of the Democratic campaign	txt-opeds/2234325657.xml.txt
2021-12-14	Los Angeles Times (Online)	Column: Trump's latest deal could set a high water mark for investment scams	txt-opeds/2609722183.xml.txt
2021-05-10	Los Angeles Times (Online)	Column: California is rolling in surplus cash. But legislators want to raise taxes anyway	txt-opeds/2524189439.xml.txt
2013-07-05	New York Times (Online)	The Legacy of the Boomer Boss	txt-opeds/2214861510.xml.txt
2019-01-31	Wall Street Journal (Online)	Clash of the Billionaire Politicians; Schultz's independent run makes more sense than Bloomberg's Democratic one.	txt-opeds/2173994368.xml.txt
2019-09-13	Wall Street Journal (Online)	A Rough Night for Socialism; Welcome critiques of government-run health care and the Venezuelan regime at Thursday's Democratic debate.	txt-opeds/2289746246.xml.txt
2020-03-06	New York Times (Online)	Where’s Joe Biden’s Universal Child Care Plan?	txt-opeds/2372374949.xml.txt
2014-12-30	New York Times (Online)	The Year in Charts	txt-opeds/2212857502.xml.txt
2019-01-29	The Washington Post (Online)	Howard Schultz and his hesitant faithful	txt-opeds/2172562216.xml.txt
2020-12-18	Wall Street Journal (Online)	A California Plan to Chase Away the Rich, Then Keep Stalking Them; A proposed wealth tax would apply for a decade to anyone who spends 60 days in the state in a single year.	txt-opeds/2471066881.xml.txt
2021-03-14	Wall Street Journal (Online)	New York's Hot Export: People; Some 65,000 families pay half the city's income taxes, but they're fleeing high taxes and disorder.	txt-opeds/2501150043.xml.txt
2019-11-13	The Washington Post (Online)	A wealth-tax calculation that doesn’t account for money invested	txt-opeds/2314151599.xml.txt
2019-12-27	Wall Street Journal (Online)	Elizabeth Warren Has a Plan, Oh My; She may not win the nomination, but her ideas show where the American left wants to go.	txt-opeds/2330794080.xml.txt
2019-09-26	Wall Street Journal (Online)	Yes Bernie Can!*; The Sanders plan to abolish American billionaires.	txt-opeds/2297448698.xml.txt
2019-06-24	The Washington Post (Online)	Who’s rising, who’s falling and who’s invisible	txt-opeds/2246037971.xml.txt
2019-12-16	The Washington Post (Online)	Elizabeth Warren has two big problems	txt-opeds/2327180878.xml.txt
2019-02-13	New York Times (Online)	The Political Magic of Us vs. Them	txt-opeds/2178929162.xml.txt
2020-10-27	The Washington Post (Online)	U.S. workers have taken a powerful hit. Any true recovery must include them.	txt-opeds/2454517947.xml.txt
2019-08-23	The Washington Post (Online)	There’s a reason Elizabeth Warren is surging	txt-opeds/2278377898.xml.txt
2019-01-30	Wall Street Journal (Online)	How a Billionaire Spends His Money Is His Own Business; Progressives are more interested in scapegoating the wealthy than they are in relieving poverty.	txt-opeds/2172436123.xml.txt
2019-10-29	The Washington Post (Online)	Wall Street giants claim Warren or Sanders would crash the stock market. Really?	txt-opeds/2310157186.xml.txt
2020-07-15	Wall Street Journal (Online)	Show Unions the Money; L.A. teachers lay down their terms for returning to the classroom.	txt-opeds/2423890332.xml.txt
2021-07-23	The Washington Post (Online)	Sharing the Wealth	txt-opeds/2554509242.xml.txt
2020-07-22	The Washington Post (Online)	Canada’s fiscal snapshot looks grim. But we can transform the country for the better.	txt-opeds/2426031560.xml.txt
2019-11-22	The Washington Post (Online)	Barack Obama’s uneasy role in the 2020 primaries	txt-opeds/2316959261.xml.txt
2019-11-05	The Washington Post (Online)	Elizabeth Warren tried to do Bernie Sanders’s homework for him. She failed.	txt-opeds/2311831422.xml.txt
2020-01-27	The Washington Post (Online)	America’s debt spree isn’t stopping. It might soon be too late.	txt-opeds/2345340273.xml.txt
2021-07-22	The Washington Post (Online)	The GOP’s dangerous compact with extremism just became clearer	txt-opeds/2554146204.xml.txt
2020-01-21	The Washington Post (Online)	Warren vs. Sanders jeopardized progressives’ best shot in a generation	txt-opeds/2342957813.xml.txt
2019-11-05	The Washington Post (Online)	The plutocrats are getting very worried and angry	txt-opeds/2312441948.xml.txt
2020-09-17	The Washington Post (Online)	Biden’s new tax plan is progressive. But it misses an opportunity.	txt-opeds/2443759119.xml.txt
2021-07-22	The Washington Post (Online)	A surprise win for Medicaid in Missouri shows the folly of GOP legislatures	txt-opeds/2554145241.xml.txt
2019-06-11	The Washington Post (Online)	Elizabeth Warren is proving her doubters wrong	txt-opeds/2238415396.xml.txt
2019-02-25	Wall Street Journal (Online)	The Identity Crisis Facing Both Republicans and Democrats; Voter shifts are causing ideological and policy whiplash	txt-opeds/2185587465.xml.txt
2022-04-11	Wall Street Journal (Online)	Inequality and the Piketty Accounting Error; The stock-market crash, not high FDR-era taxes, caused the 'great leveling' of the middle 20th century.	txt-opeds/2649111750.xml.txt
2019-12-11	The Washington Post (Online)	Executive order controversy shows why it’s impossible to trust Trump on anti-Semitism	txt-opeds/2324715006.xml.txt
2020-02-19	The Washington Post (Online)	Mike Bloomberg needs a Sister Souljah moment with Wall Street	txt-opeds/2358171910.xml.txt
2021-04-27	The Washington Post (Online)	So you want to tax the rich? Okay, let’s start with Harvard.	txt-opeds/2518867442.xml.txt
2019-07-02	The Washington Post (Online)	Putting the candidates’ ideas under a bright light	txt-opeds/2250885294.xml.txt
2020-05-22	The Washington Post (Online)	Bring on the wealth tax	txt-opeds/2405788504.xml.txt
2022-08-02	Wall Street Journal (Online)	The IRS Is About to Go Beast Mode; The Schumer-Manchin bill has $45.6 billion to audit the middle class.	txt-opeds/2697139956.xml.txt
2020-01-15	The Washington Post (Online)	There’s still time to hear out Deval Patrick	txt-opeds/2338888806.xml.txt
2020-08-13	Los Angeles Times (Online)	Opinion: Before proposing a new wealth tax, maybe California should actually try studying it first	txt-opeds/2433527709.xml.txt
2019-05-23	New York Times (Online)	Mayor Pete’s 49.9999% Tax Bracket	txt-opeds/2229179400.xml.txt
2019-10-17	The Washington Post (Online)	Elizabeth Warren the front-runner? That’s great news for Republicans.	txt-opeds/2306390875.xml.txt
2019-09-26	New York Times (Online)	Do We Need a Wealth Tax?	txt-opeds/2297469381.xml.txt
2019-02-26	The Washington Post (Online)	Let’s fight for universal child care	txt-opeds/2186021370.xml.txt
2019-10-02	New York Times (Online)	A Wealth Tax Is Pro-Growth	txt-opeds/2299757196.xml.txt
2019-12-06	The Washington Post (Online)	Democrats should never stop talking about raising taxes on the rich	txt-opeds/2322298214.xml.txt
2019-03-01	The Washington Post (Online)	Elizabeth Warren wrote a book of personal finance advice. How does it hold up?	txt-opeds/2187088383.xml.txt
2019-11-21	The Washington Post (Online)	A debate that actually covered the issues? This time, we don't have to imagine.	txt-opeds/2316686268.xml.txt
2019-06-25	New York Times (Online)	I’m in the 1 Percent. Please, Raise My Taxes.	txt-opeds/2246145563.xml.txt
2019-06-28	The Washington Post (Online)	Be very skeptical about how much revenue Elizabeth Warren’s wealth tax could generate	txt-opeds/2248856154.xml.txt
2019-09-24	The Washington Post (Online)	Sanders just issued a big challenge to Warren — and to all of us	txt-opeds/2296495171.xml.txt
2019-06-11	New York Times (Online)	O.K., But What’s Your Plan?	txt-opeds/2237885909.xml.txt
2019-11-01	Los Angeles Times (Online)	Column: Billionaire objects, profanely, to Elizabeth Warren's plan to tax billionaires	txt-opeds/2413924198.xml.txt
2021-01-03	Wall Street Journal (Online)	Argentina's Credibility Crisis; After a 2020 debt restructuring there is no reform agenda to avoid another.	txt-opeds/2474724303.xml.txt
2019-12-20	The Washington Post (Online)	Biden had his best debate yet. The wine cave business lost.	txt-opeds/2328529184.xml.txt
2019-06-26	New York Times (Online)	Why I Was Wrong About Elizabeth Warren	txt-opeds/2247091354.xml.txt
2019-12-28	New York Times (Online)	More Socialism, or More Capitalism?	txt-opeds/2330974468.xml.txt
2020-03-12	New York Times (Online)	This Might Be Joe Biden’s Greatest Challenge	txt-opeds/2376333996.xml.txt
2020-04-12	New York Times (Online)	Hey Kids: Get Out There and Vote!	txt-opeds/2388645690.xml.txt
2019-02-21	The Washington Post (Online)	Good day care is hard to find. Elizabeth Warren’s plan might make it harder.	txt-opeds/2184333995.xml.txt
2021-01-15	Los Angeles Times (Online)	Column: Scores of billionaires supported Trump, showing the necessity of a wealth tax	txt-opeds/2478137839.xml.txt
2021-06-23	Wall Street Journal (Online)	Biden Pushes for Wartime Tax Rates; Unlike the levies of the world wars, his would be permanent and without extensive deductions	txt-opeds/2544299830.xml.txt
2019-12-26	The Washington Post (Online)	2020: The year in preview	txt-opeds/2330716596.xml.txt
2019-11-21	New York Times (Online)	Pence Is Implicated	txt-opeds/2316416991.xml.txt
2019-06-27	Wall Street Journal (Online)	Grim Lizzie; Warren's odd brand of populism seeks to expand a corrupt system's power.	txt-opeds/2247935303.xml.txt
2020-11-23	The Washington Post (Online)	Biden’s voter margin in key states wouldn’t fill the Rose Bowl. That will affect how he governs.	txt-opeds/2463362397.xml.txt
2019-11-13	The Washington Post (Online)	Critical new issues the next debate must address	txt-opeds/2314152793.xml.txt
2021-11-16	Los Angeles Times (Online)	Column: Another day, another billionaire whining about a wealth tax	txt-opeds/2597835291.xml.txt
2021-02-16	The Washington Post (Online)	What Gavin Newsom could learn from Arnold Schwarzenegger	txt-opeds/2489926555.xml.txt
2021-04-22	Los Angeles Times (Online)	Op-Ed: California should pass a small tax on big wealth	txt-opeds/2516176606.xml.txt
2020-05-25	The Washington Post (Online)	Republicans’ latest proposed tax cut for the rich could permanently hobble future presidents	txt-opeds/2406429849.xml.txt
2019-12-22	New York Times (Online)	How ‘Centrist Bias’ Hurts Sanders and Warren	txt-opeds/2329649130.xml.txt
2019-11-15	The Washington Post (Online)	How impeachment will upend the Democratic primary	txt-opeds/2314673896.xml.txt
2014-07-03	New York Times (Online)	July 4 Reading: Income Inequality	txt-opeds/2213162499.xml.txt
2019-04-24	New York Times (Online)	Biden Joins the Really Big Crowd	txt-opeds/2213564579.xml.txt
2019-02-01	The Washington Post (Online)	Elizabeth Warren wasn’t the first candidate to propose a wealth tax. Trump was.	txt-opeds/2174150769.xml.txt
2019-04-12	The Washington Post (Online)	Happy Hour Roundup	txt-opeds/2208587113.xml.txt
2019-11-04	The Washington Post (Online)	Warren’s attack on moderate Democrats isn’t a good idea	txt-opeds/2311831452.xml.txt
2020-03-02	Wall Street Journal (Online)	Warren, Unlike Sanders, Makes the Medicare Math Add Up; His plan comes up $12.5 trillion short, while hers spares the middle class a tax increase.	txt-opeds/2369614868.xml.txt
2021-10-29	New York Times (Online)	A Billionaire’s Tax Isn’t as Crazy as It Sounds	txt-opeds/2587604160.xml.txt
2019-10-14	The Washington Post (Online)	What Elizabeth Warren must do to secure front-runner status	txt-opeds/2305353571.xml.txt
2020-12-24	Los Angeles Times (Online)	Op-Ed: The wealthiest Americans are putting Scrooge to shame	txt-opeds/2472285662.xml.txt
2020-03-04	New York Times (Online)	Bloomberg’s $500 Million Experiment Worked	txt-opeds/2370728599.xml.txt
2021-10-25	New York Times (Online)	Tax the Rich, Help America’s Children	txt-opeds/2585578520.xml.txt
2021-10-21	The Washington Post (Online)	Sinema’s attack on Biden’s tax plan may be great news for the 1 percent	txt-opeds/2584138974.xml.txt
2019-02-06	The Washington Post (Online)	Trump wants to run against socialism. That’s great for socialism.	txt-opeds/2176619160.xml.txt
2019-02-01	The Washington Post (Online)	It’s time for the wealthy to watch out	txt-opeds/2174152580.xml.txt
2023-01-26	Wall Street Journal (Online)	Washington State's Tax Ban Goes to Court; Progressives think they have finally found a way to overrule the voters.	txt-opeds/2769641966.xml.txt
2023-03-10	Wall Street Journal (Online)	Biden's Big Wealth Tax? Unconstitutional; His 25% minimum tax on asset gains runs into the 16th Amendment.	txt-opeds/2785454366.xml.txt
2019-11-15	Wall Street Journal (Online)	Warren Loves 'Billionaire Tears'; She's naming and shaming rich citizens, even if they're liberals.	txt-opeds/2314639193.xml.txt
2021-06-08	Wall Street Journal (Online)	Return of the IRS Scandal; Someone leaked the tax information of individuals to serve the left's agenda.	txt-opeds/2538648681.xml.txt
2023-03-09	Wall Street Journal (Online)	All the President's Tax Increases; Biden's budget wants $4.7 trillion more of your money and still grows federal debt by $17 trillion.	txt-opeds/2784959647.xml.txt
2019-02-06	New York Times (Online)	Abolish Billionaires	txt-opeds/2176496992.xml.txt
2019-04-24	Wall Street Journal (Online)	Warren's Free College Time Machine; Student loans were supposed to make money for the feds. Uh-oh.	txt-opeds/2213537483.xml.txt
2019-08-12	New York Times (Online)	It’s 2043. We Need a New American Dream for the A.I. Revolution.	txt-opeds/2271918506.xml.txt
2020-03-08	The Washington Post (Online)	Elizabeth Warren isn’t finished. Her ideas won’t go away, and neither will she.	txt-opeds/2373949214.xml.txt
2021-07-21	The Washington Post (Online)	The smartest way to make the rich pay is not a wealth tax	txt-opeds/2554142995.xml.txt
2020-03-06	The Washington Post (Online)	A simpler alternative to a wealth tax	txt-opeds/2372560696.xml.txt
2019-11-29	The Washington Post (Online)	Elizabeth Warren is progressivism’s Donald Trump	txt-opeds/2319640724.xml.txt
2019-04-04	The Washington Post (Online)	A ‘wealth tax’ presents a revenue estimation puzzle	txt-opeds/2202976702.xml.txt
2021-03-23	Los Angeles Times (Online)	Column: Who are the biggest tax cheats? The 1% — and here's how they get away with it	txt-opeds/2504065527.xml.txt
2019-07-05	The Washington Post (Online)	Wealth taxation is theft	txt-opeds/2252591688.xml.txt
2019-12-25	Los Angeles Times (Online)	Column: Billionaires emerge as the defining campaign issue for 2020	txt-opeds/2413669108.xml.txt
2021-07-21	The Washington Post (Online)	Here’s the smart way to tax the rich	txt-opeds/2553634022.xml.txt
2019-11-13	The Washington Post (Online)	Elizabeth Warren’s wealth tax might sound like nothing. But the numbers aren’t small.	txt-opeds/2313820055.xml.txt
2021-01-14	The Washington Post (Online)	NBC’s ‘Mr. Mayor’ treats life in Los Angeles as a joke. The reality is deadly serious.	txt-opeds/2477848976.xml.txt
2020-11-06	New York Times (Online)	Biden Can’t Be F.D.R. He Could Still Be L.B.J.	txt-opeds/2458094700.xml.txt
2019-12-10	The Washington Post (Online)	Capitalism is broken. It’s time for something new.	txt-opeds/2323289143.xml.txt
2019-06-22	New York Times (Online)	Notes on Excessive Wealth Disorder	txt-opeds/2244758261.xml.txt
2019-02-01	The Washington Post (Online)	Cory Booker is running for president. Here’s why it won’t be easy.	txt-opeds/2174659300.xml.txt
2019-10-25	New York Times (Online)	If the Choice Is Warren or Trump …	txt-opeds/2308576396.xml.txt
2019-07-07	New York Times (Online)	How a ‘Wealth Tax’ Could Work	txt-opeds/2252802092.xml.txt
2019-10-15	Wall Street Journal (Online)	Warren and Sanders, Policy Mates; Their differences are mainly about rhetorical labeling.	txt-opeds/2305638730.xml.txt
2014-04-24	New York Times (Online)	The Piketty Phenomenon	txt-opeds/2213609113.xml.txt
2019-09-12	The Washington Post (Online)	Happy Hour Roundup	txt-opeds/2289218347.xml.txt
2019-06-11	The Washington Post (Online)	Six questions for Team Biden	txt-opeds/2238410107.xml.txt
2019-12-20	The Washington Post (Online)	Joe Biden had his best debate yet. But the wine cave business lost.	txt-opeds/2329667778.xml.txt
2020-06-22	Wall Street Journal (Online)	Welcome to the 'Hotel Seattle'; Your business can check in, and it'll have to pay the new premium, but the city won't let it leave.	txt-opeds/2415559089.xml.txt
2021-09-01	Wall Street Journal (Online)	Can Congress Tax Wealth by 'Deeming' It Income? A challenge to a 2017 law could shut the door to Elizabeth Warren's far more ambitious levy.	txt-opeds/2568068877.xml.txt
2021-09-17	The Washington Post (Online)	Can Biden roll back the Reagan revolution?	txt-opeds/2573653378.xml.txt
2019-04-05	The Washington Post (Online)	Warren hits it out of the park	txt-opeds/2203558995.xml.txt
2020-12-02	The Washington Post (Online)	Progressives and moderates, don’t destroy each other. The enemy is Trump, not Clinton or Obama.	txt-opeds/2466135877.xml.txt
2021-01-15	Los Angeles Times (Online)	Column: These 63 billionaires supported Trump, showing the necessity of a wealth tax	txt-opeds/2478347345.xml.txt
2020-01-15	New York Times (Online)	Amy Klobuchar on Plans vs. Pipe Dreams	txt-opeds/2339454372.xml.txt
2021-07-22	The Washington Post (Online)	Polling is broken. No one knows how to fix it.	txt-opeds/2554150809.xml.txt
2021-01-27	New York Times (Online)	Who Will Pay to Get America Back on Its Feet?	txt-opeds/2481358874.xml.txt
2019-02-12	Wall Street Journal (Online)	Democrats Face Great Opportunity—and High Peril; Party risks that perceptions of extremism or stridency could alienate the center	txt-opeds/2178443802.xml.txt
2021-10-25	Wall Street Journal (Online)	Tesla Is Worth $1 Trillion; With does the successful electric-car maker still need taxpayer subsidies?	txt-opeds/2585596213.xml.txt
2019-10-23	The Washington Post (Online)	Elizabeth Warren won’t pull swing voters away from Trump	txt-opeds/2307892356.xml.txt
2020-01-12	New York Times (Online)	F.D.R. Got It. Most Democrats Don’t.	txt-opeds/2336068577.xml.txt
2021-03-19	The Washington Post (Online)	We need to rein in billionaires. Start with South Dakota.	txt-opeds/2503052139.xml.txt
2020-08-19	The Washington Post (Online)	Canada has a new finance minister. Will that mean change?	txt-opeds/2435344586.xml.txt
2021-04-26	Los Angeles Times (Online)	Column: Elon Musk is giving $150 million to charity. What a cheapskate	txt-opeds/2518536556.xml.txt
