date	source	title	textfile	text	para_n	wealth_tax	billionaire	ineq
2019-10-23	The Washington Post (Online)	Elizabeth Warren won’t pull swing voters away from Trump	txt-opeds/2307892356.xml.txt	The longer Sanders lasts before Warren cannibalizes his support, the better it will be for Joe Biden. And the longer Biden lasts as the broccoli candidate — not fun but good for you — the more time there will be for two grown-ups, Minnesota's Amy Klobuchar and Colorado's Michael F. Bennet, both senators, to thrive as unrecycled moderates. Were Democrats to nominate either, Trump's removal, which Democrats insist is their sovereign objective, would be assured. Consider some electoral realities: Charlie Cook of the Cook Political Report, in collaboration with the Kaiser Family Foundation, has found: """"""""Swing voters tend to be younger, more moderate, and less engaged in politics"""""""" than those who already firmly support or oppose Trump, or than the overall electorate. Warren is not suited to make them swing away from Trump.	2	0	0	0
2019-10-24	The Washington Post (Online)	Warren’s math on Medicare-for-all better add up	txt-opeds/2308354299.xml.txt	It will be interesting to see how the math works given that she has signed onto the enhanced Medicare-for-all plan advanced by Sen. Bernie Sanders (I-Vt.) but promised not to increase total costs for the middle class. (Total cost is a slippery concept, since some people use a lot of medical services and others do not. Would the total bill go up for middle-class workers who use health-care services only sparingly?) Sanders has conceded that he would apply a 4 percent tax to everyone making at least $29,000 and would also enact a new 7.5 percent payroll tax, which would in part be shouldered by middle-class workers (if paid by the employer, it is reasonable to assume that the result would be lower pay for workers to account for the new expense). Beyond that, MarketWatch reports, """"""""Sanders proposes a variety of progressive tax changes, including imposing a marginal tax rate of up to 70% on those making above $10 million, taxing earned and unearned income at the same rates, limiting tax deductions for filers in the top tax bracket, establishing a tax on extreme wealth and making the estate tax more progressive, including a 77% top rate on an inheritance above $1 billion.""""""""	1	0	0	1
2019-06-03	Wall Street Journal (Online)	What Joe Biden Is Revealing About Democrats; The seasoned, center-left standard-bearer of the party keeps his lead in a crowded primary race	txt-opeds/2233849430.xml.txt	—Defeating President Trump isn't just a priority for Democrats; it is far and away the top priority. From the outset, Mr. Biden has declared flatly that the 2020 race is above all about beating Mr. Trump—and that he is the candidate with the gravitas to do that. That turns to have been smart positioning. As it happens, Mr. Trump, by directing so much of his Twitter fire at Mr. Biden, actually seems to be helping him make this case, by suggesting he is the Democrat the president considers the biggest threat. —As a result of this Trump focus, this election may be more about values than ideology. Starting with his announcement video, Mr. Biden's message, implicit and explicit, has been that Mr. Trump's values and behavior, more than the policy debate, are the real issues in the 2020 campaign.	3	0	0	0
2019-09-26	Wall Street Journal (Online)	Yes Bernie Can!*; The Sanders plan to abolish American billionaires.	txt-opeds/2297448698.xml.txt	2011 newspaper article by Bruce Ackerman and Anne Alstott of Yale that concludes that because the Direct Tax Clauses of the Constitution were a part of the infamous compromise between the northern and southern states that treated slaves as 3/5 of a person for purposes of apportioning House seats and direct taxes, """"""""it is extremely unlikely that the justices will cite the founders' original compromise with slavery to bar a tax that would serve the cause of economic equality and democratic legitimacy. The Roberts court may be conservative, but it is not quite as reactionary as all that."""""""" Among the legal points that this argument ignores are that while the Constitution was amended to abolish slavery and to eliminate the odious 3/5 provision, the provisions requiring House seats and direct taxes to be apportioned among the states by population were left intact... Thus, a federal direct tax that is not an income tax and is not apportioned among the states is unconstitutional no matter how much the tax would """"""""serve the cause of economic equality and democratic legitimacy.""""""""	6	3	0	2
2023-03-09	Wall Street Journal (Online)	All the President's Tax Increases; Biden's budget wants $4.7 trillion more of your money and still grows federal debt by $17 trillion.	txt-opeds/2784959647.xml.txt	•Surtax on the surtax. The budget extends the 3.8% surtax currently applied on investment income of couples making more than $250,000 to business income. It also raises this rate and the top Medicare payroll tax on wages to 5% for those earning more than $400,000. This 44.6% top marginal rate would hit business, investment and wage income. Add state taxes, and many high earners would pay a combined top rate of more than 55%. This is higher than in the U.K. (45%), Germany (47.5%), Spain (54%) and even Sweden (52.3%). Is he trying to beat Europe in a race to the tax top?	2	0	0	2
2022-12-16	Los Angeles Times (Online)	Column: Can America's billionaires please stop whining about their privacy rights?	txt-opeds/2754979485.xml.txt	Cheerleading for the accumulation of wealth is always with us. The most recent case concerns Sam Bankman-Fried, the would-be king of cryptocurrency, who is currently cooling his heels in a Bahamanian jail awaiting extradition to the U.S. on fraud charges. In his brief heyday, Bankman-Fried was an adherent and promoter of the concept of “effective altruism,” which held that if life’s purpose is to do good, then the moral imperative is to make as much money as one can, so that one can give it away. Among the many problems with this notion is that billionaires tend to give their money to causes that benefit them personally, rather than the public interest. They fund personal vanities like space travel by the billions of dollars, and fight efforts to raise the incomes of their employees through, say, unionization, to the last drop of blood. Effective altruism provides a ready pseudo-intellectual justification for such self-dealing: The more resources billionaires hoard, the more good they can do.	11	0	1	1
2019-09-17	Los Angeles Times (Online)	Column: Trump is ignorant. What's Elizabeth Warren's excuse for her unconstitutional proposals?	txt-opeds/2413499754.xml.txt	Indeed, I think virtue signaling explains much of what is going on. None of these sweeping promises has any chance of surviving contact with Congress, never mind the voters. But that's beside the point. The Democratic primary is an emotive contest to prove who cares the most. Last week, when Joe Biden noted, rightly, that sweeping gun bans by executive order would be unconstitutional, Kamala Harris replied, """"""""I would just say, hey, Joe, instead of saying, 'No, we can't,' let's say 'Yes, we can.'"""""""" When she was done giggling at her own quip, she didn't provide an argument, she demagogued on the issue by pointing to the victims of gun violence, in much the same way President Trump uses the victims of criminals who are in the country illegally to support his constitutionally dubious border plans.	4	0	0	0
2019-08-16	The Washington Post (Online)	Warren’s success depends on her answering these five questions	txt-opeds/2274182440.xml.txt	Fifth, can she pass the commander in chief test? With the exception of Biden, this poses a challenge for all the presidential contenders. They've all got to show not only a mastery of the issues and the ability to critique Trump (that part is easy) but the ability to articulate a vision that doesn't devolve into the left's version of retrenchment. Explaining how she is going to lead the United States on the world stage and confront a dizzying array of threats will be essential to winning the nomination.	5	0	0	0
2021-01-15	Los Angeles Times (Online)	Column: Scores of billionaires supported Trump, showing the necessity of a wealth tax	txt-opeds/2478137839.xml.txt	That’s especially true since some of the charging documents federal prosecutors have filed against accused participants in the Jan. 6 insurrection suggest that the nation miraculously avoided an absolute bloodbath that day. “Strong evidence ... supports that the intent of the Capitol rioters was to capture and assassinate elected officials,” according to a filing in one case. We should pause here to acknowledge Ken Langone, a co-founder of Home Depot and long-term supporter of Trump, who actually tied Trump directly to Jan. 6. “I think the biggest mistake anybody is going to make is try and rationalize what happened last week, what the president did and what that crowd did,” Langone told CNBC on Wednesday, the day of Trump’s second impeachment. “There should be no mitigation at all. It was horrible. It was wrong. I’m shocked.”	7	0	0	0
2021-02-05	Los Angeles Times (Online)	Column: How often have tax cuts for the rich trickled down to the rest of us? Never	txt-opeds/2486595268.xml.txt	Within their sample countries, they found, the economic effects of tax cuts were consistent. They tended to increase the GDP share of the top 1% by 0.8 percentage points within five years of the cuts. The lack of any discernible impact on economic growth or unemployment, moreover, debunks “supply-side theories that suggest lower taxes on the rich will induce labor supply responses from high-income individuals (more hours of work, more effort etc.) that boost economic activity.” This is the essence of the trickle-down theory and the lionization of rich people as “job creators.” At best, Hope and Limberg write, statistics show “very slight indications of a flash in the pan effect ... on unemployment,” but those indications are “neither statistically significant nor robust.”	6	0	0	1
2021-01-15	Los Angeles Times (Online)	Column: Scores of billionaires supported Trump, showing the necessity of a wealth tax	txt-opeds/2478137839.xml.txt	Altogether, 63 Americans with net worth of $1 billion or more — $243.7 billion total in wealth — contributed $33.3 million to the Trump Victory Fund. This group comprised about one-quarter of 1% of the fund’s nearly 26,000 individual contributors, but their donations came to 10% of the fund’s overall haul of $366 million in 2019-20. This record forces upon us a few important observations. In other news, America's billionaires could give everybody in the country a $3,000 stimulus check and still be richer than they were before the pandemic. It's past time for a wealth tax. — Robert Reich (@RBReich) January 14, 2021	2	1	1	1
2020-08-13	Los Angeles Times (Online)	Opinion: Before proposing a new wealth tax, maybe California should actually try studying it first	txt-opeds/2433527709.xml.txt	I recognize that some of my colleagues here salivate at the idea of shaking down rich folks. I mean, none of us writers are that loaded, so why not? And a broad tax on assets, which a few other countries impose, could conceivably be a useful tool in a progressive tax system that seeks to narrow income inequality. But my fellow editorial board members balked at the other last-minute effort to raise taxes on the rich, noting that “there’s simply not enough time to properly vet such a major tax change before the pandemic-shortened legislative session ends on Aug. 31.” (See? We have met a tax increase we didn’t like.) And that criticism goes double for the wealth-tax proposal.	1	3	0	1
2021-01-15	Los Angeles Times (Online)	Column: These 63 billionaires supported Trump, showing the necessity of a wealth tax	txt-opeds/2478347345.xml.txt	“Trump’s contributors have already gotten their tax cut and seen the power of his deregulatory influence,” says Collins. “They’ve also seen Charlottesville and all kinds of other behavior that repelled a lot of businesspeople. But they still wrote the checks.” (After a white supremacist rally that cost the life of a counterprotester in Charlottesville, Va., in 2017, Trump remarked that there were “very fine people on both sides” of the melee.) None of Biden’s contributors disavowed their support for the president-elect in the weeks since the election, much less after the Jan. 6 Capitol riot. Many corporations and other business entities have backed away from Trump and Republican officeholders who challenged the election results.	11	0	0	2
2019-02-06	The Washington Post (Online)	Live commentary on Trump’s State of the Union: Follow along with Post columnists	txt-opeds/2176618340.xml.txt	HUGH HEWITT: I hope the president opens — after a generous and good-natured congratulation to House Speaker Nancy Pelosi on her achievement of being not just the first female speaker but now also the first woman to ever reclaim the gavel — and closes his remarks on the need for the world to rally around freedom-seeking people of Venezuela, their leader Juan Guaidó, and the goal that the Western Hemisphere become the Freedom Hemisphere, with the people of Cuba and Nicaragua quickly following Venezuela's courageous move toward rejecting their police states. The negotiations over border security and immigration reform will get their paragraphs, as will a review of President Trump's policy triumphs — especially the tax cuts and economic boom — but if his theme is freedom for Venezuela and the world, he can't go wrong. In fact, the speech could become a lever with which to catapult Nicolás Maduro out of power and into exile.	40	0	0	0
2021-06-10	Wall Street Journal (Online)	Tax-Exempt Group Favors Higher Rates on Taxpayers; ProPublica and the IRS scandal.	txt-opeds/2539635710.xml.txt	This column does not believe that tax deductions are the only reason that people make donations to nonprofit organizations. By many measures Americans are the world's most generous people and frequently give without claiming tax benefits. But incentives matter and the higher the tax burden, the more incentive people have to consider ways to reduce it with deductions like the ones available to ProPublica donors. At the margin, high tax rates can encourage more donations. For an organization like ProPublica, there is not just a tax benefit for donors when they give, but also for the organization if it receives more than it spends. According to the IRS: Organizations organized and operated exclusively for religious, charitable, scientific, testing for public safety, literary, educational, or other specified purposes and that meet certain other requirements are tax exempt under Internal Revenue Code Section 501(c)(3).	3	0	0	2
2019-12-27	Wall Street Journal (Online)	Elizabeth Warren Has a Plan, Oh My; She may not win the nomination, but her ideas show where the American left wants to go.	txt-opeds/2330794080.xml.txt	Give congressional staff """"""""competitive salaries."""""""" Recruit 10,000 people to """"""""a 21st Century Civilian Conservation Corps."""""""" End entry fees at national parks. Buy flood-prone houses """"""""for low-income homeowners at a value that will allow them to relocate."""""""" Plus much more. All of this adds up to such an expansion of government that the temptation is to dismiss it as fanciful. But Ms. Warren is a shrewd and disciplined politician who isn't supporting these ideas on an ideological whim. She believes they have enough political support to help her win the Democratic nomination and then the White House against a vulnerable Donald Trump.	11	0	0	0
2019-01-30	The Washington Post (Online)	The McAuliffe middle	txt-opeds/2173398985.xml.txt	With the Democratic field crowding the left lanes, the broad center — where Democrats have had enormous national success — remains open for the right candidate. Maybe it's McAuliffe. Or Michael Bloomberg. Or John Hickenlooper. Or Sherrod Brown. There are plenty of possible takers. And plenty of room for them to establish a potentially formidable campaign.	5	0	0	0
2021-04-22	Los Angeles Times (Online)	Column: Biden wants to hike the capital gains tax. The wealthy will fight him to the death	txt-opeds/2516435211.xml.txt	The tax cut enacted by Republicans and signed by President Trump in 2017 provided some relief from the tax. In 2021, couples with income below $80,800 and single filers with income below $40,400 pay no capital gains tax. Those with income between $80,800 and $501,600 pay only 15% on capital gains (the range for singles is $40,400 to $445,850). But that gives only a hint of why the wealthy love the capital gains tax. As it was described by the late Edward Kleinbard, who reigned for years as the resident tax expert at USC, the capital gains tax is our only truly “voluntary” tax.	5	0	2	1
2019-09-26	New York Times (Online)	Do We Need a Wealth Tax?	txt-opeds/2297469381.xml.txt	A wealth tax may not work Even those sympathetic to the spirit of a wealth tax acknowledge that there are considerable pragmatic obstacles to its implementation. Even if there were sufficient political will to pass it, it could face a constitutional challenge. Megan McArdle, a libertarian Washington Post columnist, writes: The big problem is Article 1, Section 9 of the Constitution, which forbids “direct taxes” on people or property unless they’re “apportioned” — doled out among the states by population. Instituting an income tax required a constitutional amendment to override that clause, and Warren’s plan might well require another.	5	3	0	2
2021-11-08	Los Angeles Times (Online)	Column: Thank you, Elon Musk. You've just proved why a billionaires tax is essential	txt-opeds/2594699721.xml.txt	Sen. Ron Wyden, D-Ore. The final vote went in favor of selling, 57.9% to 42.1%, with more than 3.5 million votes cast. Musk’s approach earned brickbats from people who think seriously, not whimsically, about the social and economic implications of concentrated wealth. Commentary on economics and more from a Pulitzer Prize winner. One is Sen. Ron Wyden (D-Ore.), who crafted the proposal that drew Musk’s ire. Wyden’s plan, which hasn’t survived the legislative give-and-take on Capitol Hill, would have taxed the unrealized gains in capital assets such as stock each year. Under current law, capital gains aren’t taxed until the asset is sold — providing wealthy people with convenient means to avoid the tax for years, decades and even forever.	1	0	2	1
2019-07-09	The Washington Post (Online)	Swalwell shows how it is done	txt-opeds/2254244557.xml.txt	He will remain a rising star in his party. (Note to others: Leave early, be gracious and don't suffer a humiliating loss in the primaries and caucuses.) He will continue as a strong member of the House Intelligence Committee and will, I expect, have more stature on the gun issue than he did before he started. Other Democrats should seriously consider bowing out as well, if not before the July debate then before the September debate when failure to reach 2 percent in the polls and garner 130,000 donors will force the Democratic National Committee to knock them off the stage. (Swalwell possibly would have missed the July debate but smartly took himself out first.)	2	0	0	0
2019-10-26	New York Times (Online)	Economic Incentives Don’t Always Do What We Want Them To	txt-opeds/2308851394.xml.txt	We see it among the poor. Notwithstanding talk about “welfare queens,” 40 years of evidence shows that the poor do not stop working when welfare becomes more generous. In the famous negative income tax experiments of the 1970s, participants were guaranteed a minimum income that was taxed away as they earned more, effectively taxing extra earnings at rates ranging from 30 percent to 70 percent, and yet men’s labor hours went down by less than 10 percent. More recently, when members of the Cherokee tribe started getting dividends from the casino on their land, which made them 50 percent richer on average, there was no evidence that they worked less.	2	0	0	1
2014-12-30	New York Times (Online)	The Year in Charts	txt-opeds/2212857502.xml.txt	An autumn collapse in oil prices brought more good news. A barrel of oil that fetched $107 in June commanded only $55 by Dec. 22. For consumers, that meant gasoline prices that fell to an average $2.38 per gallon, compared with their peak of $3.70 in April. All told, the drop in oil prices was equivalent to an annual tax cut of about $750 per American family. And with the United States still importing an estimated 26 percent of its petroleum, lower prices raise the economy’s growth rate and reduce the balance of payments deficit. Economic news was not all positive. Most important, there were only hints that stagnating wages might finally be turning upward. November figures showed that the cash pay of hourly workers rose by a slender 0.8 percent after adjustment for inflation over the previous year. The picture is modestly better when cash benefits are added to the equation. In the past two years, median family incomes, including items such as pensions, Social Security and unemployment insurance, edged up to about $53,500 from $52,600 in 2012. But they have remained well below their previous peak of $57,500 in January 2008. The decline between 2009 and 2012 was the first time this inflation-adjusted measure had dropped during an economic recovery.	1	0	0	0
2021-11-08	Los Angeles Times (Online)	Column: Thank you, Elon Musk. You've just proved why a billionaires tax is essential	txt-opeds/2594699721.xml.txt	There’s no evidence that any such idea was under consideration — especially given the reluctance of Democrats alike to raise taxes on the middle class, however it’s defined. No, the billionaires tax was aimed exactly where the label indicated, at America’s ever-fattened billionaire class. No one is more adept at evading taxes than the 1%, or at achieving changes in the tax code that benefit them legally. Musk’s pretense that taxing his majestic wealth will lead to higher taxes on ordinary Americans is just so much bluster. He’s protecting his own wealth, don’t think otherwise. His willingness to manipulate public sentiment to keep his own pockets filled is the best proof that a billionaires tax is desperately needed.	10	1	1	1
2021-07-22	The Washington Post (Online)	The GOP’s dangerous compact with extremism just became clearer	txt-opeds/2554146204.xml.txt	What I wanted is what they wanted."""" The ones in front were the Proud Boys, the Oath Keepers, the Three Percenters and at least nine other extremist and racist groups that wanted to disrupt, dismantle and destroy the functions of the federal government. From the scale and nature of the indictments, we know that plenty of regular Americans got carried along into acts of destruction and violence. The general purpose was not peaceful protest. The crowd was gathered in Washington by the president with the specific intention of intimidating members of Congress (and the vice president) to abandon their duties and support a coup against the Constitution. Their leader stoked their anger, sent them marching to Capitol Hill, refused to intervene when the violence began and then gave their work a warm benediction.	3	0	0	0
2021-05-09	Los Angeles Times (Online)	Column: Biden wants to hike the capital gains tax. The wealthy will fight him to the death	txt-opeds/2524189424.xml.txt	The tax cut enacted by Republicans and signed by President Trump in 2017 provided some relief from the tax. In 2021, couples with income below $80,800 and single filers with income below $40,400 pay no capital gains tax. Those with income between $80,800 and $501,600 pay only 15% on capital gains (the range for singles is $40,400 to $445,850). But that gives only a hint of why the wealthy love the capital gains tax. As it was described by the late Edward Kleinbard, who reigned for years as the resident tax expert at USC, the capital gains tax is our only truly “voluntary” tax.	5	0	0	2
2019-12-28	New York Times (Online)	More Socialism, or More Capitalism?	txt-opeds/2330974468.xml.txt	American socialists aspire to a society where people can live lives of dignity. John ConnellyKensington, Calif.The writer is a professor of history at the University of California, Berkeley. Please pass on my thanks to David Brooks for his cleareyed assessment of the virtues and failings of capitalism and how to keep our economy vibrant while reducing inequality. As a left-leaning person on economic issues and a further left leaner on most social issues, I found little to disagree with in his conservative-leaning assessment. It gave me some hope that the sensible center can hold this country together after all.	2	0	0	0
2020-01-15	New York Times (Online)	Amy Klobuchar on Plans vs. Pipe Dreams	txt-opeds/2339454372.xml.txt	So those are three examples of things I would do immediately. I don’t think that’s one bit incremental. Nor is introducing sweeping legislation to price carbon. Other examples: Immigration reform. Two presidents have valiantly tried to get that done. George Bush tried. [In May 2007, Senate negotiators, including Ms. Klobuchar, announced a bipartisan deal for comprehensive immigration reform that would have offered legal status to most of the 12 million undocumented immigrants living in the United States at the time. At the time radio shows and the CNN host Lou Dobbs railed against President Bush’s immigration policy on nearly a nightly basis, helping to sour public opinion against the deal, as well as lawmakers’. ] I know because I was in the small group that was picked to work on it. Sheldon [Whitehouse] and I were the two new senators in that group, and I saw how hard he was trying to get it done, but he was defeated. At the time it was Lou Dobbs and right-wing talk radio.	8	0	0	0
2019-02-18	Wall Street Journal (Online)	Ocasio-Cortez Heralds a New Political Era; Socialism may not become America's dominant ideology, but it's likely to be around for a while.	txt-opeds/2182673078.xml.txt	Most Republicans don't take the Green New Deal seriously. Yet Mr. McConnell has found a way to ridicule it. He said he'd bring it to a vote in the Senate. Sen. Ed Markey of Massachusetts, the resolution's chief sponsor in the upper chamber, was furious and accused the Republican leader of trying to kill the bill. Nor are Republicans anxious about polls that show how popular Democratic tax plans are. Those polls are normal. Americans have long felt the rich pay """"""""too little"""""""" in taxes, according to Gallup. A survey earlier this month by Morning Consult found that 61% of Americans either """"""""strongly"""""""" or """"""""somewhat"""""""" favor Ms. Warren's plan, which calls for a 2% tax on the assets of those whose net worth is greater than $50 million and another 1% for billionaires.	5	1	0	1
2020-01-16	New York Times (Online)	Pete Buttigieg Says He’s More Than a Résumé	txt-opeds/2339458287.xml.txt	JI: Can you talk a little bit about the cost itself? PB: Yeah. So we’ve scored it at $1.5 trillion over 10 years. [Mayor Buttigieg’s campaign said his health care plan, “Medicare for all who want it,” would be almost entirely paid for by rolling Mr. Trump’s corporate tax cuts back to 35 percent rates.] In order to achieve that, actually a fully 1.4 of it can be recouped just from rolling back the corporate tax rate portion of the Trump tax cuts. For the other 0.1, $100 billion, I would account that as part of the savings that we will get from the negotiation of prescription drug prices by Medicare and H.H.S., which I think narrowly that move alone C.B.O. had between $3 billion and $400 billion over a decade. We believe the overall savings to the Treasury of the different moves we aim to make would come to over $600 billion. Anyway, I only need 0.1 to make up the gap between 1.4 and 1.5 [trillion].	106	0	0	1
